5,582.603948919,2007-1-3,434.96989471
1,433.728184591,2007-2-9,184.688702207
3,475.957909514,2007-3-27,485.693619221
3,157.520011728,2007-4-22,430.025426677
4,482.163621341,2007-5-3,911.812487571
5,440.881972916,2007-6-20,629.142018766
4,837.242805607,2007-7-3,766.945463429
1,132.977974668,2007-8-27,130.559623905
4,975.016056615,2007-9-23,743.766215049
3,916.731046455,2007-10-2,533.428499234
2,392.960197724,2007-11-24,629.755557735
4,170.339331076,2008-1-27,482.040205794
5,842.289883167,2008-2-28,457.272841846
4,470.68997487,2008-3-23,448.814383163
1,293.665905875,2008-4-20,704.051519071
3,484.113314385,2008-5-3,856.271718109
1,272.45161859,2008-6-16,841.966418
5,361.998200914,2008-7-7,170.781953577
2,311.583243072,2008-8-7,275.182146955
3,919.558863054,2008-9-17,730.553968875
2,652.702589606,2008-10-17,671.945227851
5,437.980134088,2008-11-22,943.678612822
3,279.025900404,2009-1-16,583.493848264
1,341.256861163,2009-2-16,606.990056489
5,194.113224538,2009-3-28,424.127341932
5,803.223325038,2009-4-14,555.387723647
4,494.30453827,2009-5-16,270.8703213
3,698.948475205,2009-6-18,787.318815534
5,258.180440682,2009-7-18,348.75190149
5,417.640723704,2009-8-19,976.3694766
4,524.958253168,2009-9-17,224.873627452
5,607.306578782,2009-10-27,330.740369293
3,146.199864836,2009-11-7,424.077352771
2,152.956031058,2010-1-6,422.579384415
2,588.355855702,2010-2-22,766.620061323
2,594.259856681,2010-3-9,555.131990687
2,942.883577905,2010-4-25,745.901462404
4,828.06143611,2010-5-21,201.804992339
2,151.545778389,2010-6-27,314.134680221
2,637.831254159,2010-7-20,826.749125631
3,168.07241114,2010-8-12,419.961699882
5,773.464906728,2010-9-27,405.038293744
2,840.96195557,2010-10-18,514.264527784
5,484.263355788,2010-11-21,896.180943159
3,343.727319389,2011-1-24,833.646028266
1,684.45183055,2011-2-22,769.549535633
3,153.871464578,2011-3-17,449.241441513
3,573.260429314,2011-4-17,791.868473234
5,987.613096251,2011-5-6,984.90280899
2,816.892371845,2011-6-15,925.504181192
2,524.278847493,2011-7-28,537.488553786
1,636.359073465,2011-8-12,222.185306697
5,106.659093503,2011-9-23,442.775767198
4,634.575171842,2011-10-3,453.599812996
5,571.12844554,2011-11-10,555.562684538
4,711.729067033,2012-1-4,158.436893742
1,313.148529369,2012-2-25,738.868510591
1,116.540757552,2012-3-6,150.690628268
2,944.419829662,2012-4-6,404.418023785
4,814.51789543,2012-5-26,333.556968215
2,568.53214484,2012-6-8,677.780500257
4,774.229164498,2012-7-24,403.321583097
4,951.740658618,2012-8-9,464.608879575
2,889.241953667,2012-9-20,182.983977848
4,636.773692939,2012-10-6,574.934379932
3,661.103381527,2012-11-19,666.142185613
3,166.834723925,2013-1-25,362.809617381
5,470.190031092,2013-2-11,668.094012738
3,199.727397449,2013-3-26,316.994708071
5,766.845135045,2013-4-28,558.510328651
3,768.97655966,2013-5-19,123.664114956
5,760.637370241,2013-6-22,137.656796827
5,361.269750686,2013-7-5,415.46133393
2,496.519770574,2013-8-25,657.906976987
3,754.421418272,2013-9-21,324.424268762
4,638.336897305,2013-10-6,385.756591898
1,636.052399397,2013-11-12,878.520596714
2,765.672852097,2014-1-22,668.579887812
4,421.963473016,2014-2-19,461.498001456
4,172.812387663,2014-3-7,426.83578401
3,796.269831485,2014-4-13,159.0512877
3,460.944186031,2014-5-2,485.863941642
5,390.5333733,2014-6-5,991.201377674
3,554.95612312,2014-7-27,434.237240166
4,770.475636802,2014-8-10,172.49664454
5,995.777442718,2014-9-16,392.973883173
2,980.435142971,2014-10-26,707.717690125
1,432.417163053,2014-11-28,289.80049807
2,442.748922858,2015-1-13,671.291436318
2,518.501601107,2015-2-28,525.516847951
2,760.017905232,2015-3-28,395.517331474
1,557.107066642,2015-4-11,478.388410921
1,372.814908284,2015-5-2,894.803744824
4,924.111487529,2015-6-21,847.863917036
1,228.268540888,2015-7-1,146.161676289
5,894.883237818,2015-8-3,249.332964169
2,704.76175394,2015-9-6,443.011081103
4,741.545147098,2015-10-19,945.550683722
1,813.490535413,2015-11-2,530.950673138
4,765.325573691,2016-1-18,727.468736076
2,176.207531487,2016-2-27,428.950125765
1,856.144629737,2016-3-8,182.56996552
5,850.785617659,2016-4-18,261.696280334
4,279.552025028,2016-5-9,314.501972172
5,973.925376149,2016-6-2,380.93030768
1,713.206824539,2016-7-22,323.738984468
5,935.883701805,2016-8-4,128.626940096
1,610.311520559,2016-9-7,139.742858579
5,448.520751589,2016-10-27,659.638193199
1,264.493819365,2016-11-24,865.297104565
5,794.995219603,2017-1-10,453.312289342
1,250.770276491,2017-2-19,703.029683821
4,819.537041893,2017-3-9,878.376684382
1,821.1930009,2017-4-10,128.106808032
4,717.430217657,2017-5-8,422.937341974
4,500.049755439,2017-6-19,133.725468856
3,392.18455544,2017-7-18,364.916893019
5,742.462886526,2017-8-24,565.812616323
2,128.183609447,2017-9-17,378.442165726
3,511.481069499,2017-10-9,749.781704018
5,102.36784659,2017-11-20,639.973142876
